time,blocking,"('SEQSUINET, Rice University, Houston', 'SURANET, Georgia Tech, Atlanta')","('SEQSUINET, Rice University, Houston', 'NCSA, University of Illinois, Champaign')","('SEQSUINET, Rice University, Houston', 'San Diego Supercomputer Center')","('Jon Von Neumann Center, Princeton, NJ', 'SURANET, Georgia Tech, Atlanta')","('Jon Von Neumann Center, Princeton, NJ', 'Cornell Theory Center, Ithaca NY')","('Pittsburgh Supercomputer Center', 'Merit Univ of Michigan, Ann Arbor')","('Cornell Theory Center, Ithaca NY', 'Merit Univ of Michigan, Ann Arbor')","('NorthWestNet, Seattle', 'NCAR, Boulder')","('NorthWestNet, Seattle', 'BARRnet, Palo Alto')","('BARRnet, Palo Alto', 'Merit Univ of Michigan, Ann Arbor')","('BARRnet, Palo Alto', 'San Diego Supercomputer Center')","('Westnet, Salt Lake City', 'NCAR, Boulder')","('NCAR, Boulder', 'NCSA, University of Illinois, Champaign')","('MIDnet, Lincoln, NE', 'NCSA, University of Illinois, Champaign')","('NCSA, University of Illinois, Champaign', 'Merit Univ of Michigan, Ann Arbor')"
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.2
3,0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.2
4,0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.0,0.0,0.1,0.0,0.1,0.2,0.0,0.3
5,0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.0,0.0,0.1,0.0,0.2,0.3,0.0,0.4
6,0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.0,0.2,0.3,0.0,0.4
7,0,0.0,0.0,0.0,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.0,0.2,0.4,0.0,0.5
8,0,0.0,0.0,0.0,0.2,0.2,0.1,0.5,0.1,0.1,0.1,0.0,0.2,0.4,0.0,0.5
9,0,0.0,0.0,0.0,0.2,0.2,0.1,0.6,0.1,0.1,0.2,0.0,0.2,0.4,0.0,0.5
10,0,0.0,0.0,0.0,0.2,0.2,0.2,0.6,0.1,0.1,0.2,0.0,0.3,0.5,0.0,0.6
11,0,0.0,0.0,0.0,0.3,0.3,0.3,0.7,0.1,0.1,0.1,0.0,0.3,0.5,0.0,0.5
12,0,0.1,0.1,0.0,0.4,0.3,0.3,0.7,0.1,0.1,0.1,0.0,0.3,0.5,0.1,0.5
13,0,0.1,0.1,0.0,0.4,0.3,0.3,0.6,0.2,0.1,0.1,0.0,0.3,0.5,0.1,0.4
14,0,0.1,0.1,0.1,0.4,0.3,0.3,0.6,0.2,0.1,0.1,0.1,0.3,0.5,0.1,0.4
15,0,0.1,0.1,0.1,0.4,0.3,0.4,0.5,0.2,0.1,0.2,0.1,0.2,0.4,0.1,0.3
16,0,0.2,0.2,0.1,0.5,0.3,0.4,0.5,0.1,0.0,0.2,0.1,0.2,0.5,0.1,0.3
17,0,0.2,0.2,0.1,0.4,0.2,0.3,0.5,0.1,0.0,0.2,0.1,0.2,0.6,0.1,0.4
18,0,0.3,0.3,0.1,0.5,0.2,0.3,0.4,0.1,0.0,0.2,0.1,0.2,0.5,0.2,0.3
19,0,0.4,0.4,0.1,0.5,0.2,0.3,0.4,0.1,0.0,0.2,0.1,0.2,0.5,0.2,0.3
20,0,0.4,0.4,0.1,0.4,0.2,0.2,0.4,0.1,0.0,0.2,0.1,0.1,0.4,0.2,0.2
21,0,0.5,0.4,0.2,0.4,0.2,0.2,0.4,0.1,0.0,0.2,0.1,0.0,0.3,0.2,0.1
22,0,0.4,0.3,0.2,0.2,0.1,0.1,0.3,0.1,0.1,0.2,0.2,0.0,0.3,0.1,0.1
23,0,0.4,0.3,0.1,0.2,0.1,0.1,0.4,0.1,0.1,0.2,0.1,0.0,0.3,0.2,0.2
24,0,0.4,0.3,0.1,0.2,0.1,0.1,0.5,0.1,0.1,0.2,0.1,0.0,0.3,0.2,0.3
25,0,0.4,0.3,0.1,0.2,0.1,0.2,0.5,0.1,0.1,0.1,0.1,0.0,0.3,0.2,0.3
26,0,0.4,0.3,0.1,0.2,0.1,0.2,0.5,0.1,0.1,0.1,0.1,0.0,0.3,0.3,0.4
27,0,0.5,0.3,0.2,0.3,0.1,0.1,0.4,0.1,0.1,0.0,0.1,0.0,0.2,0.3,0.3
28,0,0.4,0.2,0.2,0.2,0.1,0.1,0.5,0.1,0.1,0.0,0.1,0.0,0.2,0.2,0.4
29,0,0.4,0.3,0.2,0.2,0.1,0.1,0.5,0.1,0.1,0.0,0.1,0.0,0.2,0.2,0.5
30,0,0.4,0.4,0.1,0.2,0.1,0.1,0.5,0.1,0.1,0.0,0.1,0.0,0.3,0.2,0.5
31,0,0.3,0.3,0.1,0.1,0.1,0.1,0.5,0.0,0.1,0.0,0.1,0.0,0.1,0.2,0.6
32,0,0.3,0.3,0.1,0.1,0.1,0.1,0.6,0.0,0.1,0.1,0.1,0.0,0.1,0.2,0.6
33,0,0.3,0.4,0.1,0.1,0.0,0.1,0.5,0.0,0.1,0.1,0.1,0.0,0.1,0.2,0.7
34,0,0.3,0.4,0.1,0.1,0.1,0.1,0.6,0.0,0.2,0.2,0.1,0.0,0.1,0.2,0.7
35,0,0.3,0.4,0.2,0.1,0.1,0.1,0.6,0.0,0.2,0.2,0.2,0.0,0.1,0.2,0.7
36,0,0.2,0.3,0.2,0.1,0.1,0.1,0.6,0.1,0.2,0.2,0.2,0.0,0.1,0.2,0.7
37,0,0.2,0.3,0.2,0.1,0.1,0.1,0.6,0.1,0.2,0.2,0.2,0.0,0.1,0.3,0.8
38,0,0.3,0.2,0.3,0.1,0.1,0.1,0.6,0.1,0.1,0.2,0.1,0.0,0.1,0.3,0.7
39,0,0.3,0.2,0.3,0.1,0.2,0.1,0.5,0.1,0.1,0.2,0.1,0.0,0.1,0.2,0.6
40,0,0.3,0.2,0.3,0.1,0.2,0.1,0.4,0.1,0.1,0.2,0.1,0.0,0.1,0.2,0.5
41,0,0.3,0.3,0.4,0.1,0.2,0.1,0.4,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.5
42,0,0.2,0.3,0.4,0.1,0.2,0.1,0.4,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.5
43,0,0.1,0.4,0.3,0.0,0.2,0.0,0.3,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.5
44,0,0.1,0.4,0.2,0.0,0.1,0.0,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.3,0.4
45,0,0.1,0.4,0.2,0.0,0.1,0.0,0.2,0.2,0.0,0.1,0.0,0.1,0.2,0.3,0.3
46,0,0.2,0.4,0.2,0.1,0.1,0.0,0.2,0.2,0.0,0.1,0.0,0.1,0.2,0.3,0.3
47,0,0.2,0.4,0.2,0.1,0.1,0.0,0.2,0.2,0.0,0.1,0.1,0.1,0.2,0.2,0.2
48,0,0.1,0.4,0.1,0.1,0.1,0.1,0.2,0.2,0.0,0.2,0.2,0.1,0.2,0.2,0.2
49,0,0.1,0.4,0.1,0.1,0.1,0.2,0.2,0.1,0.0,0.3,0.2,0.1,0.2,0.2,0.2
50,0,0.1,0.4,0.1,0.1,0.1,0.2,0.1,0.2,0.0,0.2,0.2,0.1,0.3,0.3,0.2
51,0,0.1,0.4,0.1,0.1,0.1,0.2,0.2,0.2,0.0,0.2,0.2,0.1,0.3,0.3,0.2
52,0,0.1,0.4,0.1,0.1,0.1,0.2,0.2,0.2,0.0,0.2,0.2,0.1,0.4,0.3,0.2
53,0,0.1,0.4,0.1,0.1,0.1,0.2,0.3,0.2,0.0,0.2,0.2,0.1,0.4,0.3,0.3
54,0,0.1,0.4,0.1,0.1,0.0,0.3,0.3,0.2,0.0,0.2,0.2,0.2,0.5,0.3,0.4
55,0,0.1,0.4,0.1,0.1,0.0,0.3,0.3,0.2,0.0,0.2,0.2,0.3,0.6,0.3,0.4
56,0,0.1,0.3,0.0,0.1,0.0,0.3,0.3,0.2,0.0,0.3,0.2,0.2,0.5,0.2,0.2
57,0,0.1,0.1,0.0,0.1,0.0,0.4,0.3,0.1,0.1,0.4,0.2,0.2,0.4,0.1,0.2
58,0,0.1,0.1,0.0,0.1,0.0,0.4,0.3,0.1,0.1,0.4,0.1,0.3,0.5,0.1,0.3
59,0,0.1,0.0,0.0,0.1,0.0,0.5,0.3,0.1,0.2,0.5,0.1,0.3,0.5,0.1,0.3
60,0,0.1,0.0,0.1,0.1,0.0,0.5,0.3,0.1,0.2,0.5,0.1,0.3,0.5,0.1,0.3
61,0,0.0,0.0,0.1,0.0,0.0,0.5,0.3,0.1,0.2,0.6,0.1,0.3,0.5,0.1,0.3
62,0,0.1,0.0,0.1,0.1,0.0,0.5,0.3,0.1,0.2,0.6,0.1,0.3,0.5,0.1,0.3
63,0,0.1,0.0,0.1,0.1,0.0,0.5,0.3,0.1,0.2,0.6,0.1,0.4,0.6,0.2,0.3
64,0,0.1,0.0,0.1,0.1,0.0,0.6,0.3,0.1,0.2,0.6,0.1,0.4,0.7,0.2,0.4
65,0,0.1,0.0,0.1,0.1,0.0,0.6,0.3,0.1,0.2,0.5,0.0,0.4,0.7,0.2,0.4
66,0,0.2,0.0,0.2,0.1,0.0,0.6,0.2,0.1,0.2,0.5,0.0,0.4,0.7,0.2,0.4
67,0,0.3,0.1,0.2,0.2,0.0,0.4,0.1,0.0,0.2,0.4,0.0,0.1,0.3,0.1,0.1
68,0,0.3,0.1,0.2,0.2,0.0,0.4,0.1,0.0,0.1,0.3,0.0,0.1,0.3,0.1,0.1
69,0,0.4,0.2,0.1,0.2,0.0,0.4,0.1,0.0,0.1,0.3,0.0,0.2,0.4,0.1,0.1
70,0,0.4,0.3,0.2,0.2,0.0,0.4,0.1,0.0,0.1,0.3,0.0,0.2,0.3,0.1,0.1
71,0,0.4,0.4,0.2,0.2,0.0,0.4,0.0,0.0,0.1,0.2,0.0,0.2,0.3,0.1,0.1
72,0,0.4,0.4,0.2,0.2,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.2,0.3,0.2,0.2
73,0,0.5,0.4,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.2,0.2,0.2,0.1
74,0,0.5,0.4,0.4,0.3,0.0,0.3,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.1
75,0,0.5,0.5,0.4,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.1
76,0,0.5,0.5,0.4,0.3,0.0,0.3,0.1,0.0,0.0,0.1,0.2,0.2,0.2,0.2,0.1
77,0,0.5,0.5,0.4,0.3,0.0,0.4,0.1,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.1
78,0,0.6,0.5,0.5,0.4,0.0,0.4,0.1,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.1
79,0,0.6,0.5,0.5,0.4,0.0,0.2,0.1,0.0,0.2,0.2,0.3,0.2,0.2,0.2,0.1
80,0,0.6,0.5,0.5,0.4,0.0,0.2,0.2,0.0,0.2,0.2,0.3,0.3,0.3,0.2,0.2
81,0,0.5,0.4,0.5,0.3,0.0,0.2,0.3,0.0,0.2,0.2,0.3,0.2,0.2,0.1,0.2
82,0,0.5,0.4,0.4,0.3,0.0,0.2,0.3,0.0,0.2,0.2,0.3,0.2,0.2,0.1,0.2
83,0,0.4,0.3,0.3,0.2,0.0,0.3,0.3,0.0,0.2,0.3,0.3,0.2,0.2,0.1,0.2
84,0,0.3,0.3,0.2,0.3,0.0,0.3,0.3,0.0,0.2,0.3,0.3,0.1,0.1,0.1,0.2
85,0,0.3,0.3,0.2,0.2,0.0,0.3,0.3,0.0,0.2,0.3,0.3,0.1,0.1,0.1,0.2
86,0,0.3,0.4,0.3,0.2,0.0,0.1,0.3,0.0,0.1,0.2,0.3,0.2,0.2,0.0,0.1
87,0,0.3,0.4,0.3,0.2,0.0,0.1,0.2,0.0,0.1,0.1,0.3,0.2,0.2,0.0,0.1
88,0,0.3,0.5,0.3,0.2,0.0,0.1,0.2,0.0,0.1,0.1,0.3,0.2,0.2,0.0,0.1
89,0,0.3,0.5,0.3,0.2,0.0,0.1,0.2,0.0,0.1,0.1,0.3,0.2,0.2,0.1,0.2
90,0,0.3,0.5,0.3,0.2,0.0,0.1,0.1,0.0,0.1,0.1,0.3,0.1,0.1,0.1,0.2
91,0,0.3,0.6,0.3,0.2,0.0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.2,0.1,0.2
92,0,0.3,0.6,0.3,0.2,0.0,0.2,0.1,0.1,0.1,0.2,0.4,0.1,0.2,0.1,0.2
93,0,0.2,0.4,0.3,0.1,0.0,0.2,0.1,0.1,0.1,0.2,0.4,0.2,0.3,0.2,0.2
94,0,0.1,0.5,0.2,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.3,0.2,0.3
95,0,0.0,0.5,0.1,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.2,0.3,0.2,0.3
96,0,0.0,0.5,0.1,0.0,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.3,0.2,0.3
97,0,0.0,0.4,0.1,0.0,0.1,0.2,0.3,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.3
98,0,0.0,0.4,0.1,0.0,0.1,0.2,0.4,0.1,0.2,0.3,0.2,0.2,0.3,0.2,0.3
99,0,0.1,0.5,0.1,0.1,0.1,0.2,0.3,0.1,0.2,0.3,0.2,0.2,0.3,0.3,0.3
100,0,0.2,0.6,0.1,0.1,0.1,0.2,0.3,0.1,0.2,0.3,0.1,0.2,0.3,0.4,0.3
